Origin,Destination,Airline,Flight,Origin Airport,Origin city,Origin temperature,Origin humidity,Origin cloudiness,Origin wind speed,Origin current description,Destination Airport,Destination city,Destination temperature,Destination humidity,Destination cloudiness,Destination wind speed,Destination current description
TLC,MTY,4O,104,Licenciado Adolfo Lopez Mateos International Airport,Toluca,78.06,12,0,5.75,smoke,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,TLC,4O,119,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Adolfo Lopez Mateos International Airport,Toluca,78.06,12,0,5.75,smoke
MEX,MTY,4O,2100,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,MEX,4O,2101,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,MTY,4O,2102,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,MEX,4O,2103,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,MTY,4O,2104,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MEX,MTY,4O,2106,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,MEX,4O,2107,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,MTY,4O,2108,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MEX,MTY,4O,2110,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,MEX,4O,2111,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,MTY,4O,2112,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,MEX,4O,2113,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MTY,MEX,4O,2117,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,MTY,4O,2118,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,MEX,4O,2119,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MTY,MEX,4O,2121,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,MTY,4O,2122,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MEX,MTY,4O,2126,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MTY,MEX,4O,2127,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MTY,MEX,4O,2129,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MTY,MEX,4O,2131,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,MTY,4O,2132,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MEX,MTY,4O,2134,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds
MEX,TAM,4O,2150,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds
TAM,MEX,4O,2151,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,TAM,4O,2152,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds
TAM,MEX,4O,2153,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,TAM,4O,2154,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds
TAM,MEX,4O,2155,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
TAM,MEX,4O,2157,General Francisco Javier Mina International Airport,Tampico,75.2,69,40,18.41,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,GDL,4O,2200,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
GDL,MEX,4O,2201,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
GDL,MEX,4O,2203,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,GDL,4O,2204,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
MEX,GDL,4O,2206,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
GDL,MEX,4O,2207,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,GDL,4O,2208,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
MEX,GDL,4O,2210,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
GDL,MEX,4O,2211,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
GDL,MEX,4O,2213,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
GDL,MEX,4O,2215,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,GDL,4O,2216,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
GDL,MEX,4O,2217,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,GDL,4O,2220,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
MEX,GDL,4O,2222,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
MEX,GDL,4O,2224,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
GDL,MEX,4O,2225,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
GDL,MEX,4O,2227,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,GDL,4O,2228,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
MEX,CJS,4O,2283,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Abraham González International Airport,Ciudad Juárez,56.16,39,40,9.22,scattered clouds
CJS,MEX,4O,2284,Abraham González International Airport,Ciudad Juárez,56.16,39,40,9.22,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MTY,GDL,4O,230,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
CUN,MEX,4O,2301,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,CUN,4O,2302,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds
